Magazine,EHASTRA_EH_NUMMER,Period,Heftjahr,Heftnummer,Bezug_MBR,Verkauf_MBR,Remission_MBR,Bezug,Verkauf,Remission,Klasse,SBC,XYZ,Laenge,Zensierungsquote,Zensierungsgrad,Zensiert,Entgangener Verkauf,Steigung,N1_Demand,N2_Demand,N3_Demand,EM_Demand,PD_Demand,Nahmias_Demand,Conrad_Demand,Bayesian_Demand,Bayesian_Q,Baseline_Demand,N1_Q,N2_Q,N3_Q,EM_Q,PD_Q,Nahmias_Q,Conrad_Q,Baseline_Q
A,EHA0017186,2022-004,2022,4,5.0,1.0,4.0,5.0,1.0,4.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHA0017186,2022-005,2022,5,5.0,0.0,5.0,5.0,0.0,5.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-006,2022,6,5.0,0.0,5.0,5.0,0.0,5.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-007,2022,7,4.0,0.0,4.0,4.0,0.0,4.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-008,2022,8,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-009,2022,9,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-028,2022,28,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
A,EHA0017186,2022-029,2022,29,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-030,2022,30,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-031,2022,31,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-032,2022,32,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2022-033,2022,33,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
A,EHA0017186,2023-009,2023,9,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
