Magazine,EHASTRA_EH_NUMMER,N1_bias,N1_weighted_mae_0,N1_weighted_mae_0.5,N1_weighted_mae_1,N1_weighted_mae_1.5,N1_censored_fraction,N1_accuracy,N1_overestimation_rate,N1_underestimation_rate,N1_gini_coefficient,N1_overstock,N2_bias,N2_weighted_mae_0,N2_weighted_mae_0.5,N2_weighted_mae_1,N2_weighted_mae_1.5,N2_censored_fraction,N2_accuracy,N2_overestimation_rate,N2_underestimation_rate,N2_gini_coefficient,N2_overstock,N3_bias,N3_weighted_mae_0,N3_weighted_mae_0.5,N3_weighted_mae_1,N3_weighted_mae_1.5,N3_censored_fraction,N3_accuracy,N3_overestimation_rate,N3_underestimation_rate,N3_gini_coefficient,N3_overstock,EM_bias,EM_weighted_mae_0,EM_weighted_mae_0.5,EM_weighted_mae_1,EM_weighted_mae_1.5,EM_censored_fraction,EM_accuracy,EM_overestimation_rate,EM_underestimation_rate,EM_gini_coefficient,EM_overstock,PD_bias,PD_weighted_mae_0,PD_weighted_mae_0.5,PD_weighted_mae_1,PD_weighted_mae_1.5,PD_censored_fraction,PD_accuracy,PD_overestimation_rate,PD_underestimation_rate,PD_gini_coefficient,PD_overstock,Nahmias_bias,Nahmias_weighted_mae_0,Nahmias_weighted_mae_0.5,Nahmias_weighted_mae_1,Nahmias_weighted_mae_1.5,Nahmias_censored_fraction,Nahmias_accuracy,Nahmias_overestimation_rate,Nahmias_underestimation_rate,Nahmias_gini_coefficient,Nahmias_overstock,Conrad_bias,Conrad_weighted_mae_0,Conrad_weighted_mae_0.5,Conrad_weighted_mae_1,Conrad_weighted_mae_1.5,Conrad_censored_fraction,Conrad_accuracy,Conrad_overestimation_rate,Conrad_underestimation_rate,Conrad_gini_coefficient,Conrad_overstock,Baseline_bias,Baseline_weighted_mae_0,Baseline_weighted_mae_0.5,Baseline_weighted_mae_1,Baseline_weighted_mae_1.5,Baseline_censored_fraction,Baseline_accuracy,Baseline_overestimation_rate,Baseline_underestimation_rate,Baseline_gini_coefficient,Baseline_overstock,Bayesian_bias,Bayesian_weighted_mae_0,Bayesian_weighted_mae_0.5,Bayesian_weighted_mae_1,Bayesian_weighted_mae_1.5,Bayesian_censored_fraction,Bayesian_accuracy,Bayesian_overestimation_rate,Bayesian_underestimation_rate,Bayesian_gini_coefficient,Bayesian_overstock
A,EHB0019844,-0.37209302325581395,0.37209302325581395,0.44438377843075616,0.5294117647058824,0.6288525071220862,0.32575757575757575,0.6744186046511628,0.0,0.32558139534883723,0.7122093023255813,0.0,-1.372093023255814,1.372093023255814,1.4443837784307563,1.5294117647058822,1.6288525071220867,0.32575757575757575,0.0,0.0,1.0,0.19314150571541178,0.0,-0.5813953488372093,0.5813953488372093,0.5915930606306596,0.6078431372549019,0.6321485491530219,0.32575757575757575,0.4418604651162791,0.0,0.5581395348837209,0.46325581395348836,0.0,0.4186046511627907,0.46511627906976744,0.4764087834168307,0.49019607843137253,0.5069495839788098,0.32575757575757575,0.5348837209302325,0.4418604651162791,0.023255813953488372,0.5348837209302326,19.0,-0.5813953488372093,0.5813953488372093,0.5915930606306596,0.6078431372549019,0.6321485491530219,0.32575757575757575,0.4418604651162791,0.0,0.5581395348837209,0.46325581395348836,0.0,-0.5813953488372093,0.5813953488372093,0.5915930606306596,0.6078431372549019,0.6321485491530219,0.32575757575757575,0.4418604651162791,0.0,0.5581395348837209,0.46325581395348836,0.0,-0.4418604651162791,0.6744186046511628,0.6824422752658817,0.696078431372549,0.7172560646163796,0.32575757575757575,0.3488372093023256,0.11627906976744186,0.5348837209302325,0.37048917401764236,5.0,-0.5813953488372093,0.5813953488372093,0.5915930606306596,0.6078431372549019,0.6321485491530219,0.32575757575757575,0.4418604651162791,0.0,0.5581395348837209,0.46325581395348836,0.0,0.813953488372093,0.8604651162790697,0.8516438537407441,0.8431372549019608,0.8355167057361362,0.32575757575757575,0.20930232558139536,0.7674418604651163,0.023255813953488372,0.2677561282212444,36.0
A,EHB0023505,-0.2,1.3,1.2630907312830326,1.2692307692307692,1.306490459220507,0.31007751937984496,0.3,0.25,0.45,0.46923076923076934,22.0,0.8,1.4,1.2292586703243722,1.1153846153846154,1.0461983541915125,0.31007751937984496,0.225,0.55,0.225,0.46250000000000013,44.0,0.85,1.35,1.1682807890817377,1.0432692307692308,0.9628992090385551,0.31007751937984496,0.25,0.55,0.2,0.4824074074074074,44.0,-1.05,1.05,1.1166448206071384,1.1778846153846154,1.23428398278563,0.31007751937984496,0.325,0.0,0.675,0.4750000000000001,0.0,-1.05,1.05,1.1166448206071384,1.1778846153846154,1.23428398278563,0.31007751937984496,0.325,0.0,0.675,0.4750000000000001,0.0,-1.0,1.0,1.0724432150384031,1.1394230769230769,1.2011314955290364,0.31007751937984496,0.35,0.0,0.65,0.4962500000000001,0.0,-0.925,0.975,1.0445505068616465,1.1105769230769231,1.1728219779633346,0.31007751937984496,0.35,0.025,0.625,0.4967948717948718,1.0,-1.05,1.05,1.1166448206071384,1.1778846153846154,1.23428398278563,0.31007751937984496,0.325,0.0,0.675,0.4750000000000001,0.0,1.875,1.975,1.7904309475472402,1.6442307692307692,1.5292676479993894,0.31007751937984496,0.05,0.9,0.05,0.3110759493670887,77.0
A,EHC0004006,-0.43478260869565216,0.43478260869565216,0.5229743835658669,0.625,0.7411108012174512,0.3484848484848485,0.6521739130434783,0.0,0.34782608695652173,0.7108695652173913,0.0,-0.43478260869565216,0.43478260869565216,0.5229743835658669,0.625,0.7411108012174512,0.3484848484848485,0.6521739130434783,0.0,0.34782608695652173,0.7108695652173913,0.0,-0.21739130434782608,0.21739130434782608,0.24333687099779247,0.26785714285714285,0.2893452338432429,0.3484848484848485,0.782608695652174,0.0,0.21739130434782608,0.7826086956521738,0.0,0.5217391304347826,0.5217391304347826,0.506696378537435,0.49107142857142855,0.4751480286769151,0.3484848484848485,0.4782608695652174,0.5217391304347826,0.0,0.4782608695652173,24.0,-0.2391304347826087,0.6739130434782609,0.776035516130367,0.9107142857142857,1.08516660731277,0.3484848484848485,0.5217391304347826,0.021739130434782608,0.45652173913043476,0.6542776998597475,10.0,-0.41304347826086957,0.5,0.50609102591759,0.5089285714285714,0.5072792725401601,0.3484848484848485,0.5,0.043478260869565216,0.45652173913043476,0.5,2.0,-0.2826086956521739,0.5869565217391305,0.5855645151909294,0.5803571428571429,0.570279110977691,0.3484848484848485,0.41304347826086957,0.15217391304347827,0.43478260869565216,0.4130434782608694,7.0,-0.45652173913043476,0.45652173913043476,0.46188896649947603,0.4642857142857143,0.4625947895464531,0.3484848484848485,0.5434782608695652,0.0,0.45652173913043476,0.5434782608695652,0.0,0.7608695652173914,0.7608695652173914,0.741260071465317,0.7232142857142857,0.7080893703223159,0.3484848484848485,0.2391304347826087,0.7608695652173914,0.0,0.23913043478260865,35.0
A,EHC0005070,-0.20454545454545456,0.7954545454545454,0.8310841974814053,0.8794326241134752,0.9395684562906065,0.33587786259541985,0.29545454545454547,0.29545454545454547,0.4090909090909091,0.3694805194805195,13.0,-0.20454545454545456,0.7954545454545454,0.8310841974814053,0.8794326241134752,0.9395684562906065,0.33587786259541985,0.29545454545454547,0.29545454545454547,0.4090909090909091,0.3694805194805195,13.0,-0.06818181818181818,0.6590909090909091,0.6623032855007197,0.6737588652482269,0.6925146636363114,0.33587786259541985,0.36363636363636365,0.29545454545454547,0.3409090909090909,0.38479623824451403,13.0,-0.7727272727272727,0.7727272727272727,0.8193886060028062,0.8652482269503546,0.9089608088995115,0.33587786259541985,0.36363636363636365,0.0,0.6363636363636364,0.4518716577540107,0.0,-0.7727272727272727,0.7727272727272727,0.8193886060028062,0.8652482269503546,0.9089608088995115,0.33587786259541985,0.36363636363636365,0.0,0.6363636363636364,0.4518716577540107,0.0,-0.75,0.7954545454545454,0.8375607713843135,0.8794326241134752,0.9197820574261388,0.33587786259541985,0.3409090909090909,0.022727272727272728,0.6363636363636364,0.4305194805194805,1.0,-0.5,0.7727272727272727,0.7899210211524176,0.8085106382978723,0.828148796102852,0.33587786259541985,0.29545454545454547,0.13636363636363635,0.5681818181818182,0.35160427807486627,6.0,-0.7727272727272727,0.7727272727272727,0.8193886060028062,0.8652482269503546,0.9089608088995115,0.33587786259541985,0.36363636363636365,0.0,0.6363636363636364,0.4518716577540107,0.0,0.5227272727272727,0.7045454545454546,0.6599016316246079,0.6170212765957447,0.5767139266249977,0.33587786259541985,0.3181818181818182,0.5909090909090909,0.09090909090909091,0.3394428152492668,27.0
A,EHE0003391,-1.0,1.0,1.0,1.0,1.0,0.13636363636363635,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.13636363636363635,0.0,0.0,1.0,0.0,0.0,-0.6111111111111112,0.6111111111111112,0.611111111111111,0.6111111111111112,0.611111111111111,0.13636363636363635,0.3888888888888889,0.0,0.6111111111111112,0.38888888888888884,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.13636363636363635,0.6111111111111112,0.3888888888888889,0.0,0.6111111111111112,7.0,-0.6111111111111112,0.6111111111111112,0.611111111111111,0.6111111111111112,0.611111111111111,0.13636363636363635,0.3888888888888889,0.0,0.6111111111111112,0.38888888888888884,0.0,-0.6111111111111112,0.6111111111111112,0.611111111111111,0.6111111111111112,0.611111111111111,0.13636363636363635,0.3888888888888889,0.0,0.6111111111111112,0.38888888888888884,0.0,-0.6111111111111112,0.6111111111111112,0.611111111111111,0.6111111111111112,0.611111111111111,0.13636363636363635,0.3888888888888889,0.0,0.6111111111111112,0.38888888888888884,0.0,-0.6111111111111112,0.6111111111111112,0.611111111111111,0.6111111111111112,0.611111111111111,0.13636363636363635,0.3888888888888889,0.0,0.6111111111111112,0.38888888888888884,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.13636363636363635,0.6111111111111112,0.3888888888888889,0.0,0.6111111111111112,7.0
A,EHH0010681,-1.25,1.25,1.327081318757799,1.4285714285714286,1.5599496615232675,0.32941176470588235,0.0,0.0,1.0,0.1724489795918367,0.0,-1.25,1.25,1.327081318757799,1.4285714285714286,1.5599496615232675,0.32941176470588235,0.0,0.0,1.0,0.1724489795918367,0.0,-0.6785714285714286,0.6785714285714286,0.6749965950781919,0.6666666666666666,0.6515338662391237,0.32941176470588235,0.32142857142857145,0.0,0.6785714285714286,0.3214285714285714,0.0,-0.6785714285714286,0.6785714285714286,0.6749965950781919,0.6666666666666666,0.6515338662391237,0.32941176470588235,0.32142857142857145,0.0,0.6785714285714286,0.3214285714285714,0.0,-0.6785714285714286,0.6785714285714286,0.6749965950781919,0.6666666666666666,0.6515338662391237,0.32941176470588235,0.32142857142857145,0.0,0.6785714285714286,0.3214285714285714,0.0,-0.6785714285714286,0.6785714285714286,0.6749965950781919,0.6666666666666666,0.6515338662391237,0.32941176470588235,0.32142857142857145,0.0,0.6785714285714286,0.3214285714285714,0.0,-0.5357142857142857,0.6785714285714286,0.659749378701026,0.6349206349206349,0.6027242345807315,0.32941176470588235,0.32142857142857145,0.07142857142857142,0.6071428571428571,0.3214285714285714,2.0,-0.6785714285714286,0.6785714285714286,0.6749965950781919,0.6666666666666666,0.6515338662391237,0.32941176470588235,0.32142857142857145,0.0,0.6785714285714286,0.3214285714285714,0.0,0.2857142857142857,0.2857142857142857,0.27136933150478315,0.25396825396825395,0.23322720123045868,0.32941176470588235,0.7142857142857143,0.2857142857142857,0.0,0.7142857142857142,8.0
B,EHA0020265,-0.15555555555555556,0.6888888888888889,0.7483635282674458,0.8309859154929577,0.9359132307890572,0.3409090909090909,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.5663082437275986,12.0,-0.15555555555555556,0.6888888888888889,0.7483635282674458,0.8309859154929577,0.9359132307890572,0.3409090909090909,0.4666666666666667,0.26666666666666666,0.26666666666666666,0.5663082437275986,12.0,0.17777777777777778,0.35555555555555557,0.32197328292054594,0.29577464788732394,0.27724957400311906,0.3409090909090909,0.6444444444444445,0.26666666666666666,0.08888888888888889,0.6444444444444446,12.0,1.0,1.0,0.9646281604617293,0.9295774647887324,0.8954819494438919,0.3409090909090909,0.08888888888888889,0.9111111111111111,0.0,0.1619753086419753,45.0,0.0,0.17777777777777778,0.17867256122940828,0.18309859154929578,0.19088381227961343,0.3409090909090909,0.8222222222222222,0.08888888888888889,0.08888888888888889,0.8222222222222224,4.0,-0.5333333333333333,0.5333333333333333,0.516977033031319,0.5,0.48276464998268354,0.3409090909090909,0.4888888888888889,0.0,0.5111111111111111,0.5092592592592593,0.0,-0.5333333333333333,0.5333333333333333,0.516977033031319,0.5,0.48276464998268354,0.3409090909090909,0.4888888888888889,0.0,0.5111111111111111,0.5092592592592593,0.0,-0.5333333333333333,0.5333333333333333,0.516977033031319,0.5,0.48276464998268354,0.3409090909090909,0.4888888888888889,0.0,0.5111111111111111,0.5092592592592593,0.0,1.0222222222222221,1.0222222222222221,0.9825407506731215,0.9436619718309859,0.9062776696593301,0.3409090909090909,0.08888888888888889,0.9111111111111111,0.0,0.1758454106280194,46.0
B,EHB0023505,0.1,1.1,1.0864973827900923,1.1020408163265305,1.1432676438115337,0.3125,0.275,0.4,0.325,0.44772727272727275,24.0,1.1,1.45,1.3284018524311367,1.2346938775510203,1.1673004423129536,0.3125,0.2,0.675,0.125,0.41120689655172415,51.0,1.15,1.4,1.2639027906265228,1.153061224489796,1.0657112580279573,0.3125,0.225,0.675,0.1,0.424107142857143,51.0,-1.05,1.05,1.123732742228389,1.1938775510204083,1.2604650142208065,0.3125,0.4,0.0,0.6,0.517857142857143,0.0,-1.05,1.05,1.123732742228389,1.1938775510204083,1.2604650142208065,0.3125,0.4,0.0,0.6,0.517857142857143,0.0,-1.05,1.05,1.123732742228389,1.1938775510204083,1.2604650142208065,0.3125,0.4,0.0,0.6,0.517857142857143,0.0,-1.05,1.05,1.123732742228389,1.1938775510204083,1.2604650142208065,0.3125,0.4,0.0,0.6,0.517857142857143,0.0,-1.05,1.05,1.123732742228389,1.1938775510204083,1.2604650142208065,0.3125,0.4,0.0,0.6,0.517857142857143,0.0,1.625,1.775,1.6572962990794533,1.5510204081632653,1.4544845955333867,0.3125,0.075,0.85,0.075,0.2961267605633804,68.0
C,EHB0023505,-0.6842105263157895,1.4736842105263157,1.4825821679968105,1.5136986301369864,1.5615122098986236,0.296875,0.18421052631578946,0.18421052631578946,0.631578947368421,0.41541353383458635,15.0,0.3157894736842105,1.2105263157894737,1.1297796919208545,1.082191780821918,1.0608820566677266,0.296875,0.34210526315789475,0.3684210526315789,0.2894736842105263,0.5469107551487413,29.0,0.3157894736842105,1.2105263157894737,1.1297796919208545,1.082191780821918,1.0608820566677266,0.296875,0.34210526315789475,0.3684210526315789,0.2894736842105263,0.5469107551487413,29.0,-1.8421052631578947,1.8421052631578947,1.9058889301656647,1.9691780821917808,2.0322792463234216,0.296875,0.15789473684210525,0.0,0.8421052631578947,0.36466165413533824,0.0,-1.8421052631578947,1.8421052631578947,1.9058889301656647,1.9691780821917808,2.0322792463234216,0.296875,0.15789473684210525,0.0,0.8421052631578947,0.36466165413533824,0.0,-1.8421052631578947,1.8421052631578947,1.9058889301656647,1.9691780821917808,2.0322792463234216,0.296875,0.15789473684210525,0.0,0.8421052631578947,0.36466165413533824,0.0,-1.8421052631578947,1.8421052631578947,1.9058889301656647,1.9691780821917808,2.0322792463234216,0.296875,0.15789473684210525,0.0,0.8421052631578947,0.36466165413533824,0.0,-1.8421052631578947,1.8421052631578947,1.9058889301656647,1.9691780821917808,2.0322792463234216,0.296875,0.15789473684210525,0.0,0.8421052631578947,0.36466165413533824,0.0,1.4473684210526316,1.7105263157894737,1.5956089024086102,1.5034246575342465,1.4290613780674541,0.296875,0.10526315789473684,0.7894736842105263,0.10526315789473684,0.34615384615384603,60.0
D,EHB0019844,-1.0,1.0,1.0,1.0,1.0,0.24242424242424243,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.24242424242424243,0.0,0.0,1.0,0.0,0.0,-0.5,0.5,0.5,0.5,0.5,0.24242424242424243,0.5,0.0,0.5,0.5,0.0,-0.5,0.5,0.5,0.5,0.5,0.24242424242424243,0.5,0.0,0.5,0.5,0.0,-0.5,0.5,0.5,0.5,0.5,0.24242424242424243,0.5,0.0,0.5,0.5,0.0,-0.5,0.5,0.5,0.5,0.5,0.24242424242424243,0.5,0.0,0.5,0.5,0.0,-0.5,0.5,0.5,0.5,0.5,0.24242424242424243,0.5,0.0,0.5,0.5,0.0,-0.5,0.5,0.5,0.5,0.5,0.24242424242424243,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.24242424242424243,0.5,0.5,0.0,0.5,4.0
