EHASTRA_EH_NUMMER,Heftjahr,Heftnummer,Period,Bezug_MBR,Verkauf_MBR,Remission_MBR,Bezug,Verkauf,Remission,Klasse,SBC,XYZ,Laenge,Zensierungsquote,Zensierungsgrad,Zensiert,Entgangener Verkauf,Steigung,Magazine,N1_Demand,N2_Demand,N3_Demand,EM_Demand,PD_Demand,Nahmias_Demand,Conrad_Demand,Bayesian_Demand,Bayesian_Q,Baseline_Demand
EHA0017186,2022,2,2022-002,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,2,2022-002,,,,,,,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHB0019844,2022,2,2022-002,6.0,2.0,4.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0
EHB0023505,2022,2,2022-002,10.0,0.0,10.0,10.0,0.0,10.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
EHC0004006,2022,2,2022-002,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0
EHC0005070,2022,2,2022-002,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
EHE0003391,2022,2,2022-002,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
EHH0010681,2022,2,2022-002,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,3,2022-003,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,3,2022-003,,,,,,,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHB0019844,2022,3,2022-003,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0
EHB0023505,2022,3,2022-003,,,,,,,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHC0004006,2022,3,2022-003,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHC0005070,2022,3,2022-003,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
EHE0003391,2022,3,2022-003,3.0,2.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,X,132,0.35,0.4,1,0.0,0.0085,A,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0
EHH0010681,2022,3,2022-003,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,4,2022-004,5.0,1.0,4.0,5.0,1.0,4.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EHA0021360,2022,4,2022-004,,,,,,,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHB0019844,2022,4,2022-004,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHB0023505,2022,4,2022-004,,,,,,,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHC0004006,2022,4,2022-004,5.0,3.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0
EHC0005070,2022,4,2022-004,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,1,1.0,0.0085,A,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
EHE0003391,2022,4,2022-004,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
EHH0010681,2022,4,2022-004,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,5,2022-005,5.0,0.0,5.0,5.0,0.0,5.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHA0021360,2022,5,2022-005,,,,,,,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHB0019844,2022,5,2022-005,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,A,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0
EHB0023505,2022,5,2022-005,,,,,,,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHC0004006,2022,5,2022-005,5.0,5.0,0.0,6.0,5.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
EHC0005070,2022,5,2022-005,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
EHE0003391,2022,5,2022-005,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,X,132,0.35,0.4,1,1.0,0.0085,A,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0
EHH0010681,2022,5,2022-005,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,6,2022-006,5.0,0.0,5.0,5.0,0.0,5.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHA0021360,2022,6,2022-006,,,,,,,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHB0019844,2022,6,2022-006,4.0,2.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,A,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0
EHB0023505,2022,6,2022-006,5.0,0.0,5.0,5.0,0.0,5.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
EHC0004006,2022,6,2022-006,5.0,2.0,3.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0
EHC0005070,2022,6,2022-006,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
EHE0003391,2022,6,2022-006,3.0,2.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,X,132,0.35,0.4,1,0.0,0.0085,A,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0
EHH0010681,2022,6,2022-006,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,7,2022-007,4.0,0.0,4.0,4.0,0.0,4.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHA0021360,2022,7,2022-007,,,,,,,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHB0019844,2022,7,2022-007,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
EHB0023505,2022,7,2022-007,9.0,4.0,5.0,9.0,4.0,5.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
EHC0004006,2022,7,2022-007,4.0,2.0,2.0,4.0,2.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0
EHC0005070,2022,7,2022-007,5.0,4.0,1.0,5.0,4.0,1.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
EHE0003391,2022,7,2022-007,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,X,132,0.35,0.4,1,1.0,0.0085,A,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0
EHH0010681,2022,7,2022-007,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,8,2022-008,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHA0021360,2022,8,2022-008,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHB0019844,2022,8,2022-008,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0
EHB0023505,2022,8,2022-008,9.0,7.0,2.0,9.0,7.0,2.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0
EHC0004006,2022,8,2022-008,6.0,2.0,4.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0
EHC0005070,2022,8,2022-008,5.0,4.0,1.0,3.0,3.0,0.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,1,1.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0
EHE0003391,2022,8,2022-008,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHH0010681,2022,8,2022-008,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,9,2022-009,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHA0021360,2022,9,2022-009,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EHB0019844,2022,9,2022-009,4.0,2.0,2.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0
EHB0023505,2022,9,2022-009,14.0,10.0,4.0,14.0,10.0,4.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0
EHC0004006,2022,9,2022-009,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHC0005070,2022,9,2022-009,6.0,3.0,3.0,6.0,3.0,3.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
EHE0003391,2022,9,2022-009,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHH0010681,2022,9,2022-009,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,10,2022-010,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,10,2022-010,3.0,0.0,3.0,3.0,0.0,3.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHB0019844,2022,10,2022-010,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,A,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0
EHB0023505,2022,10,2022-010,11.0,7.0,4.0,11.0,7.0,4.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0
EHC0004006,2022,10,2022-010,4.0,2.0,2.0,4.0,2.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0
EHC0005070,2022,10,2022-010,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHE0003391,2022,10,2022-010,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHH0010681,2022,10,2022-010,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,11,2022-011,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,11,2022-011,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
