EHASTRA_EH_NUMMER,Heftjahr,Heftnummer,Period,Bezug_MBR,Verkauf_MBR,Remission_MBR,Bezug,Verkauf,Remission,Klasse,SBC,XYZ,Laenge,Zensierungsquote,Zensierungsgrad,Zensiert,Entgangener Verkauf,Steigung,Verkauf_Uncensored,original_filename,magazine,date,zq_parameter,zg_parameter,uncensoring_method
EHA0020265,2022,4,2022-004,4.0,0.0,4.0,4.0,0.0,4.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,0.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2022,5,2022-005,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2022,6,2022-006,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2022,7,2022-007,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,0.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2022,8,2022-008,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,3.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,1,2023-001,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,3.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,2,2023-002,6.0,2.0,4.0,2.0,2.0,0.0,Klasse 1-2,S,Y,18,0.35,0.4,1,0.0,0.0085,2.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,3,2023-003,7.0,1.0,6.0,7.0,1.0,6.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,4,2023-004,4.0,2.0,2.0,1.0,1.0,0.0,Klasse 1-2,S,Y,18,0.35,0.4,1,1.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,5,2023-005,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,6,2023-006,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,3.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,7,2023-007,3.0,2.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,18,0.35,0.4,1,0.0,0.0085,2.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2023,8,2023-008,5.0,0.0,5.0,5.0,0.0,5.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,0.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2024,1,2024-001,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2024,2,2024-002,6.0,2.0,4.0,1.0,1.0,0.0,Klasse 1-2,S,Y,18,0.35,0.4,1,1.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2024,3,2024-003,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2024,4,2024-004,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,18,0.35,0.4,1,1.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0020265,2024,5,2024-005,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,0.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0100976,2022,4,2022-004,2.0,2.0,0.0,3.0,2.0,1.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,2.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0100976,2022,5,2022-005,2.0,2.0,0.0,3.0,2.0,1.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,2.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
EHA0100976,2022,6,2022-006,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,18,0.35,0.4,0,0.0,0.0085,1.0,I_20250212_ZQ0.35_ZG0.4_testfile.csv,I,20250212,ZQ0.35,ZG0.4,PD
